nodesAttributes.Node,nodesAttributes.ZeroAct,nodesAttributes.UpAct,nodesAttributes.DownAct,nodesAttributes.AvgAct,nodesAttributes.NodeType
NFKBIA,100,0,0,0,T
IRF3,0,0,100,-100,T
NRF1,100,0,0,0,T
NR2C2,0,0,100,-100,T
JUNB,0,0,100,-100,T
NR2F1,100,0,0,0,T
ATF2,0,0,100,-100,T
E2F7,0,0,100,-100,T
ELK4,0,0,100,-100,T
NR4A1,0,100,0,100,T
PRDM1,0,0,100,-100,T
STAT2,0,0,100,-100,T
CALM1,100,0,0,0,
CALM3,100,0,0,0,
CALM2,100,0,0,0,
CAV1,100,0,0,0,
DRD2,100,0,0,0,
FKBP4,100,0,0,0,
MDFI,53,0,47,-47,S
ITPR2,53,47,0,47,S
MARCKS,100,0,0,0,
GRM1,100,0,0,0,
STIM1,100,0,0,0,
TRPC1,100,0,0,0,
TRPC3,100,0,0,0,
TRPC4,100,0,0,0,
TRPC5,100,0,0,0,
PKD2,100,0,0,0,
TRPV4,100,0,0,0,
CASR,100,0,0,0,
EPOR,100,0,0,0,
HOMER1,53,47,0,47,S
ITPR1,100,0,0,0,
ITPR3,53,47,0,47,S
ASPH,53,47,0,47,S
ORAI1,100,0,0,0,
PRKG1,100,0,0,0,
RNF24,53,0,47,-47,S
SRC,100,0,0,0,
TRPM4,100,0,0,0,
WNK4,100,0,0,0,
SLC9A3R1,100,0,0,0,
EPB41,100,0,0,0,
CABP1,53,0,47,-47,S
NCS1,53,47,0,47,S
SESTD1,53,47,0,47,S
FYN,100,0,0,0,
CHRM1,100,0,0,0,S
MX1,53,47,0,47,S
NPHS1,100,0,0,0,
NPHS2,53,47,0,47,S
SNF8,53,47,0,47,S
AKAP5,100,0,0,0,
CNR1,100,0,0,0,S
CDK5,100,0,0,0,
FAF1,100,0,0,0,
GABARAP,100,0,0,0,
KIF13B,53,47,0,47,S
PIRT,53,47,0,47,S
PRKACA,100,0,0,0,
NTRK1,100,0,0,0,
SLC50A1,53,47,0,47,S
EGFR,100,0,0,0,
HCK,100,0,0,0,
ITCH,100,0,0,0,
LCK,100,0,0,0,
LYN,100,0,0,0,
MAP7,53,47,0,47,S
OS9,53,47,0,47,S
PACSIN3,53,47,0,47,S
YES1,100,0,0,0,
BSPRY,53,0,47,-47,S
CALB1,53,47,0,47,S
PPIB,53,47,0,47,S
KL,100,0,0,0,S
RAB11A,53,47,0,47,S
S100A10,53,47,0,47,S
TGM2,100,0,0,0,S
MCOLN3,100,0,0,0,
TRPV5,100,0,0,0,
TRPV6,100,0,0,0,
PDZD3,53,47,0,47,S
NIPSNAP1,53,0,47,-47,S
NUMB,100,0,0,0,
PTPN1,100,0,0,0,
RGS2,100,0,0,0,
NYX,53,47,0,47,S
EFHC1,53,47,0,47,S
PTPN13,100,0,0,0,S
RACK1,100,0,0,0,
PHB2,100,0,0,0,
TRPM6,100,0,0,0,
TRPM7,100,0,0,0,
HTR1B,100,0,0,0,
OPRM1,100,0,0,0,
MCOLN2,100,0,0,0,
MCOLN1,100,0,0,0,
PRKCSH,53,0,47,-47,S
KIF3A,100,0,0,0,
PKD1,100,0,0,0,
STX5,53,0,47,-47,S
PKD1L3,53,47,0,47,S
TNNI1,53,0,47,-47,S
TNNI3,100,0,0,0,
CASP3,100,0,0,0,
MAPK14,100,0,0,0,
MAPKAPK2,100,0,0,0,
TIA1,53,0,47,-47,S
HNRNPD,100,0,0,0,
HNRNPA0,100,0,0,0,
JAK2,100,0,0,0,
ESPN,53,47,0,47,S
GJB6,100,0,0,0,
GJB2,100,0,0,0,
PARN,100,0,0,0,
TIAL1,100,0,0,0,
ZIC1,100,0,0,0,S
HES5,100,0,0,0,
ATOH1,100,0,0,0,
JAG2,100,0,0,0,
DLL1,100,0,0,0,
SIX1,100,0,0,0,
MYO7A,100,0,0,0,
PCDH15,100,0,0,0,
MAPK3,100,0,0,0,
MAPK1,100,0,0,0,
TUB,53,47,0,47,S
PROX1,53,0,47,-47,S
GFI1,100,0,0,0,
KEAP1,0,100,0,100,
IGF2BP1,53,47,0,47,S
PAX3,100,0,0,0,
DACH2,100,0,0,0,
NFAT5,100,0,0,0,
FOXI1,100,0,0,0,
FGF3,100,0,0,0,
AKT1,100,0,0,0,
CHUK,100,0,0,0,
PIK3R1,100,0,0,0,
CDC73,53,47,0,47,S
SYMPK,53,47,0,47,S
CDK1,100,0,0,0,
CDKN1A,100,0,0,0,
ATM,100,0,0,0,
MYCN,53,47,0,47,S
MDM2,100,0,0,0,
ATR,100,0,0,0,
KLF2,53,0,47,-47,S
IGF1,100,0,0,0,
CCL2,100,0,0,0,
MMP14,100,0,0,0,
ABL1,100,0,0,0,
PRKDC,100,0,0,0,
ARNTL,100,0,0,0,
CRY2,100,0,0,0,
CRY1,100,0,0,0,
NPAS2,53,47,0,47,S
ATAD2,53,0,47,-47,S
USP28,100,0,0,0,
PRKN,100,0,0,0,
PCNA,100,0,0,0,
USP7,100,0,0,0,
RELA,100,0,0,0,
RBL2,0,0,100,-100,
MDC1,100,0,0,0,
RNF8,100,0,0,0,
DCLRE1C,100,0,0,0,
BACE2,53,47,0,47,S
BACE1,100,0,0,0,
XRCC4,100,0,0,0,
TP53BP1,100,0,0,0,
ADAM10,100,0,0,0,
PREX2,54,0,46,-46,S
PINK1,100,0,0,0,
PTPRD,53,0,47,-47,S
XRCC1,100,0,0,0,
PEBP1,100,0,0,0,
CDK2,100,0,0,0,
HBP1,100,0,0,0,
RPL11,100,0,0,0,S
TRRAP,100,0,0,0,
FBXW7,100,0,0,0,
PAK1,100,0,0,0,
SMG1,100,0,0,0,
MAP2K4,100,0,0,0,
ULK1,100,0,0,0,
MTOR,100,0,0,0,
SH3GLB1,100,0,0,0,
ATG13,100,0,0,0,
BECN1,100,0,0,0,
TIAM1,100,0,0,0,
HRAS,100,0,0,0,
ATG10,100,0,0,0,
DAPK1,100,0,0,0,
UVRAG,100,0,0,0,
ULK2,100,0,0,0,
AKT1S1,100,0,0,0,
MCL1,100,0,0,0,
ATG7,100,0,0,0,
MAPKAPK5,100,0,0,0,
ATG5,100,0,0,0,
BNIP3,100,0,0,0,
SPNS1,53,0,47,-47,S
ATG4B,53,0,47,-47,S
CAPN1,100,0,0,0,
CAPN2,100,0,0,0,
CASP2,100,0,0,0,
CASP6,100,0,0,0,
CASP10,100,0,0,0,
TOPBP1,100,0,0,0,
SGK1,100,0,0,0,
POU4F3,100,0,0,0,
MYO15A,100,0,0,0,
SOX2,100,0,0,0,
ADGRV1,53,0,47,-47,S
ID3,100,0,0,0,
ID2,100,0,0,0,
NOTCH1,100,0,0,0,
ID1,100,0,0,0,
KCNE1,53,47,0,47,S
WNT1,100,0,0,0,
TIRAP,100,0,0,0,
PDPK1,100,0,0,0,
PDK1,100,0,0,0,
JAG1,100,0,0,0,
E2F2,100,0,0,0,
RALB,100,0,0,0,S
RALGDS,100,0,0,0,
RALBP1,100,0,0,0,
KIT,100,0,0,0,
EYA1,100,0,0,0,
KCNQ4,100,0,0,0,
PRKACG,100,0,0,0,S
IKBKE,0,100,0,100,
ERBB2,100,0,0,0,
AKT2,0,54,46,8,
RAD18,100,0,0,0,
PRKCG,100,0,0,0,
SFRP1,100,0,0,0,
SFRP2,100,0,0,0,
MAB21L1,100,0,0,0,
PAX6,100,0,0,0,
PKNOX1,53,47,0,47,S
BIRC2,100,0,0,0,
BAX,100,0,0,0,
BBC3,100,0,0,0,
BIRC6,100,0,0,0,
PMAIP1,100,0,0,0,
CDH1,100,0,0,0,
BAK1,100,0,0,0,
RHEB,100,0,0,0,
TSC2,100,0,0,0,
TSC1,100,0,0,0,
RHOA,0,100,0,100,
ATG12,100,0,0,0,
ATG3,100,0,0,0,
CAMKK2,100,0,0,0,
FOXO1,100,0,0,0,
BCL2L2,100,0,0,0,
DYNLL1,100,0,0,0,
CFLAR,100,0,0,0,
CASP7,100,0,0,0,
CASP8,100,0,0,0,
PPP1CA,100,0,0,0,
BCL2L11,100,0,0,0,
BCL2L1,100,0,0,0,
DAPK3,100,0,0,0,
CDKN2A,100,0,0,0,
SMAD2,100,0,0,0,
UNC5B,100,0,0,0,
ATG101,54,46,0,46,S
PRKCI,100,0,0,0,
MAPK8,100,0,0,0,
MIB1,100,0,0,0,S
HRK,65,0,35,-35,S
FKBP8,100,0,0,0,
PRKCZ,100,0,0,0,
PIDD1,100,0,0,0,
RPS6KA3,100,0,0,0,
FAS,100,0,0,0,
RPS6KA1,100,0,0,0,
CASP8AP2,100,0,0,0,
MAP2K1,100,0,0,0,
DAPK2,100,0,0,0,
PTPRF,100,0,0,0,
HSP90AA1,100,0,0,0,
NEO1,100,0,0,0,
RRAS,100,0,0,0,
RAF1,100,0,0,0,
GSN,100,0,0,0,
CTNNB1,100,0,0,0,
ROCK1,100,0,0,0,
PPP1R14A,100,0,0,0,
TLN1,100,0,0,0,
SMAD4,100,0,0,0,
SMAD3,100,0,0,0,
ELAVL1,100,0,0,0,
CHEK2,100,0,0,0,
E2F3,100,0,0,0,
CHEK1,100,0,0,0,
WNT5A,100,0,0,0,
PUF60,100,0,0,0,
FUBP1,100,0,0,0,
UBE2T,53,47,0,47,S
NFE2L2,100,0,0,0,
KDM2B,53,47,0,47,S
MAP3K8,100,0,0,0,
IKBKB,100,0,0,0,
EIF4EBP2,100,0,0,0,
EIF4EBP1,100,0,0,0,
EIF4EBP3,100,0,0,0,
BCL10,100,0,0,0,
MAP3K14,100,0,0,0,
TNIP1,100,0,0,0,
CCNA2,100,0,0,0,
IL22,53,47,0,47,S
EPO,100,0,0,0,
KSR2,53,0,47,-47,S
HIPK2,100,0,0,0,
CASP1,100,0,0,0,
CXCL16,65,35,0,35,S
GTF2I,100,0,0,0,
KLKB1,100,0,0,0,S
CCL3L1,53,47,0,47,S
ASF1A,100,0,0,0,
TNFSF10,100,0,0,0,
MAP3K7,100,0,0,0,
STK11,100,0,0,0,
ASF1B,87,13,0,13,S
TNFRSF10A,100,0,0,0,
KAT8,100,0,0,0,
PARP1,100,0,0,0,
TNFRSF10B,100,0,0,0,
NMI,100,0,0,0,S
KRT18,100,0,0,0,
IL10,100,0,0,0,
NLRP1,100,0,0,0,
CARD18,53,47,0,47,S
ISG15,87,13,0,13,S
CARD16,53,0,47,-47,S
JAK1,100,0,0,0,
INSR,100,0,0,0,
TRAF2,100,0,0,0,
IFIH1,100,0,0,0,
TP73,100,0,0,0,
NOD2,100,0,0,0,
ANO9,53,47,0,47,S
EIF2AK2,100,0,0,0,
TICAM1,100,0,0,0,
IFNG,100,0,0,0,S
IRF7,100,0,0,0,
MAP1B,100,0,0,0,
ZDHHC9,53,47,0,47,S
KLF6,88,12,0,12,S
IGF2,100,0,0,0,
FLT3LG,100,0,0,0,S
KITLG,100,0,0,0,S
TLR4,100,0,0,0,
KAT2B,100,0,0,0,
TICAM2,100,0,0,0,
TRAF6,100,0,0,0,
TLR3,100,0,0,0,
MYD88,100,0,0,0,
ATG14,100,0,0,0,
SIRT2,100,0,0,0,
RUBCN,100,0,0,0,
CARD8,100,0,0,0,
SERPINB9,53,0,47,-47,S
EIF4G2,100,0,0,0,
RPS6KB1,100,0,0,0,
GAPDH,100,0,0,0,
USP3,87,13,0,13,S
CAMKK1,100,0,0,0,
SFPQ,100,0,0,0,
NONO,100,0,0,0,
APLF,87,13,0,13,S
NOS1,100,0,0,0,
GSK3B,100,0,0,0,
PPP1R3A,53,47,0,47,S
CSNK1A1,100,0,0,0,
USP1,100,0,0,0,S
BCL2,100,0,0,0,
PLK1,100,0,0,0,
PPARG,100,0,0,0,
TLX1,0,0,100,-100,S
YWHAQ,100,0,0,0,
DDX17,100,0,0,0,
PLK3,100,0,0,0,S
AXIN1,100,0,0,0,
RPS6KA5,100,0,0,0,
CREBBP,0,0,100,-100,
KAT7,100,0,0,0,
GTF3C4,53,47,0,47,S
NCOA1,100,0,0,0,
NCOA3,100,0,0,0,
DYRK2,100,0,0,0,
TBK1,100,0,0,0,
MAVS,100,0,0,0,
NCOA2,100,0,0,0,
TLR5,100,0,0,0,
RIPK2,100,0,0,0,
KDM3A,53,47,0,47,S
CLOCK,100,0,0,0,
KDM4B,53,0,47,-47,S
KDM4A,53,0,47,-47,S
HIF1A,29,71,0,71,
CSNK2B,100,0,0,0,
APIP,53,0,47,-47,S
ESCO1,100,0,0,0,
TNFAIP3,100,0,0,0,
XPC,100,0,0,0,
ABL2,100,0,0,0,
CAPNS1,53,47,0,47,S
XRCC5,53,47,0,47,S
PIK3R4,100,0,0,0,
KMT2D,100,0,0,0,
KMT2B,53,47,0,47,S
CARM1,100,0,0,0,S
BID,100,0,0,0,
DIABLO,100,0,0,0,
PRMT6,67,0,33,-33,S
WEE1,100,0,0,0,
KMT5B,54,0,46,-46,S
KMT2A,100,0,0,0,
PPM1A,100,0,0,0,
MBD1,100,0,0,0,
SMARCA4,0,0,100,-100,
SOCS3,100,0,0,0,
MAP2K2,100,0,0,0,
CASP5,100,0,0,0,
PPM1D,100,0,0,0,
SMYD2,100,0,0,0,
SETD1A,53,47,0,47,S
CXCL9,53,47,0,47,S
SETD2,100,0,0,0,
CCL5,100,0,0,0,
CCL8,100,0,0,0,S
CCL4,53,0,47,-47,S
IL6,100,0,0,0,
SETDB2,53,47,0,47,S
KMT2E,53,47,0,47,S
RIOX1,53,0,47,-47,S
GSK3A,100,0,0,0,
CTBP1,100,0,0,0,
SETD7,57,43,0,43,S
PRDM2,53,0,47,-47,S
DOT1L,100,0,0,0,S
KMT5A,100,0,0,0,
ATG16L1,100,0,0,0,
FADD,100,0,0,0,
ATG4D,100,0,0,0,
HTRA2,100,0,0,0,
BNIP3L,100,0,0,0,
ATG4A,53,47,0,47,S
BIRC3,100,0,0,0,
H2AFX,100,0,0,0,
BIRC5,100,0,0,0,
TAB1,100,0,0,0,
WDFY3,53,47,0,47,S
TAB2,100,0,0,0,
MAP3K5,100,0,0,0,
EGF,100,0,0,0,
VMP1,53,47,0,47,S
IL1A,100,0,0,0,
RAB7A,53,47,0,47,S
FYCO1,100,0,0,0,
DAP3,100,0,0,0,
SUPT20H,53,47,0,47,S
RAB33B,53,47,0,47,S
CISD2,53,47,0,47,S
BAD,100,0,0,0,
BCL6,100,0,0,0,
CRADD,100,0,0,0,
TRADD,100,0,0,0,
HMGB1,100,0,0,0,
FBXO5,100,0,0,0,
PIN1,100,0,0,0,
BTRC,100,0,0,0,
ZBTB17,100,0,0,0,
UBE2M,53,47,0,47,S
EGLN1,100,0,0,0,
EGLN3,100,0,0,0,
EGLN2,100,0,0,0,
VHL,100,0,0,0,
MYB,100,0,0,0,
BRCA1,100,0,0,0,
PALB2,100,0,0,0,
EP300,0,0,100,-100,
PAXIP1,100,0,0,0,
NLK,100,0,0,0,
PER1,100,0,0,0,
TIMELESS,100,0,0,0,
SSBP1,53,47,0,47,S
SIRT1,100,0,0,0,
RORA,100,0,0,0,
RORB,53,47,0,47,S
RORC,87,13,0,13,S
NR1D1,100,0,0,0,
PER2,100,0,0,0,
NR1D2,53,0,47,-47,S
PER3,53,0,47,-47,S
CAND1,53,0,47,-47,S
GLRX,54,0,46,-46,S
NR5A1,100,0,0,0,
DKK1,100,0,0,0,
SIRT6,68,32,0,32,S
COPS5,100,0,0,0,
NKRF,54,46,0,46,S
TWIST1,100,0,0,0,
FRAT1,100,0,0,0,
FRAT2,54,0,46,-46,S
CSNK2A1,100,0,0,0,
KAT5,100,0,0,0,
PML,100,0,0,0,
PPP5C,100,0,0,0,
MIR22HG,54,0,46,-46,S
MTNR1A,100,0,0,0,
CDK11A,54,0,46,-46,S
CDK11B,100,0,0,0,
DDB2,100,0,0,0,
SMARCB1,0,0,100,-100,S
RB1,100,0,0,0,
HDAC3,30,0,70,-70,
TRIM28,100,0,0,0,
NSMCE2,54,46,0,46,S
AURKA,100,0,0,0,
HDAC6,100,0,0,0,
TRIM8,100,0,0,0,
RECQL5,88,0,12,-12,S
MARCH5,54,46,0,46,S
ZBTB4,54,0,46,-46,S
DDX5,100,0,0,0,
DTX3L,54,46,0,46,S
NFKBIZ,54,0,46,-46,S
ATF1,100,0,0,0,
KDM5D,60,0,40,-40,S
KDM5B,100,0,0,0,
KDM5C,55,0,45,-45,S
ASH1L,55,45,0,45,S
KDM5A,54,0,46,-46,S
TNFSF14,54,46,0,46,S
CD40LG,88,12,0,12,S
TNFSF13B,100,0,0,0,S
LTA,100,0,0,0,S
LTB,54,46,0,46,S
LTBR,100,0,0,0,
FOXO3,100,0,0,0,
NRG1,56,0,44,-44,S
CD40,100,0,0,0,
ERBB3,100,0,0,0,
SKP2,100,0,0,0,
NR1I2,100,0,0,0,
NOLC1,100,0,0,0,
PRMT5,100,0,0,0,
APC2,57,0,43,-43,S
HDAC2,0,0,100,-100,
MST1,100,0,0,0,
SIAH1,100,0,0,0,
USP22,54,46,0,46,S
HSPB1,100,0,0,0,
PRKD1,100,0,0,0,
DFFA,100,0,0,0,
RCOR1,0,100,0,100,
NKIRAS1,95,5,0,5,S
PTEN,100,0,0,0,
BACH1,100,0,0,0,
NKIRAS2,66,34,0,34,S
DDIT3,100,0,0,0,
NGF,100,0,0,0,
CASP9,100,0,0,0,
ACAA2,66,0,34,-34,S
BMI1,100,0,0,0,
ING1,66,34,0,34,S
STAT6,100,0,0,0,
IL4R,100,0,0,0,
RPS6KA4,100,0,0,0,
IL4,100,0,0,0,
USP17L2,66,34,0,34,S
NEK11,100,0,0,0,
IL3RA,100,0,0,0,
PIAS4,100,0,0,0,
BTK,100,0,0,0,
KMT5C,66,34,0,34,S
SIRT7,100,0,0,0,S
EIF2AK4,100,0,0,0,
DDX58,100,0,0,0,
EIF2AK1,66,0,34,-34,S
HSPA5,100,0,0,0,
EIF2AK3,100,0,0,0,
MAP2K6,100,0,0,0,
CDK5RAP3,89,11,0,11,S
TIMD4,66,34,0,34,S
PRLR,100,0,0,0,
LEPR,100,0,0,0,
IL5RA,100,0,0,0,
CRTC2,100,0,0,0,
BAG2,100,0,0,0,
CSNK1E,100,0,0,0,
CSNK1D,100,0,0,0,S
EHMT2,66,34,0,34,S
EHMT1,100,0,0,0,
SETDB1,100,0,0,0,
KAT6A,0,100,0,100,S
JARID2,82,18,0,18,S
KDM6A,74,26,0,26,S
KDM6B,73,27,0,27,S
TRDMT1,66,0,34,-34,S
KDM1A,100,0,0,0,
UHRF1,100,0,0,0,
HDAC1,70,0,30,-30,
KAT2A,100,0,0,0,
MEN1,100,0,0,0,S
PHF8,66,34,0,34,S
SETD1B,73,27,0,27,S
GZMA,0,100,0,100,S
SET,100,0,0,0,
GZMB,100,0,0,0,
DZIP3,67,0,33,-33,S
PAF1,70,30,0,30,S
USP16,100,0,0,0,
PHF1,75,25,0,25,S
HELLS,100,0,0,0,S
TGFA,100,0,0,0,
PRKCA,100,0,0,0,
HOXA10,100,0,0,0,
AR,100,0,0,0,
MAPK11,0,100,0,100,
PPARA,100,0,0,0,
SLC2A4RG,74,26,0,26,S
INSIG1,100,0,0,0,
DUSP22,100,0,0,0,S
TXN,100,0,0,0,
APEX1,0,0,100,-100,
PRMT1,100,0,0,0,
BLM,100,0,0,0,
FAAP24,78,22,0,22,S
WAPL,82,0,18,-18,S
MCPH1,100,0,0,0,
GRB2,100,0,0,0,
FANCC,100,0,0,0,
HMGN1,100,0,0,0,
FANCL,100,0,0,0,
NAP1L1,87,13,0,13,S
ADRM1,92,8,0,8,S
MAT1A,96,0,4,-4,S
MTA1,100,0,0,0,
NEDD8,100,0,0,0,S
ACTL6A,100,0,0,0,S
CEP85,100,0,0,0,S
CDC7,100,0,0,0,
UBE2I,29,71,0,71,
SENP1,100,0,0,0,S
HDAC10,100,0,0,0,S
SUMO1,0,100,0,100,
SUMO3,100,0,0,0,S
ZNF350,100,0,0,0,S
EP400,100,0,0,0,S
RNF2,100,0,0,0,
CHD8,100,0,0,0,S
FBXO31,100,0,0,0,
ATRIP,100,0,0,0,
NCOR2,100,0,0,0,
NCOR1,100,0,0,0,
PGR,100,0,0,0,
NR1I3,100,0,0,0,
SOX4,100,0,0,0,
SOX17,100,0,0,0,S
FOXG1,100,0,0,0,
PRKCQ,100,0,0,0,
HINFP,100,0,0,0,
RECQL4,100,0,0,0,
WRN,100,0,0,0,
YBX1,100,0,0,0,
NPAT,100,0,0,0,
TIPIN,100,0,0,0,
MLH1,100,0,0,0,
PMS2,100,0,0,0,
MSH2,100,0,0,0,
APC,100,0,0,0,
LIMK1,100,0,0,0,
CDC42BPA,100,0,0,0,
CFL1,100,0,0,0,
CFL2,100,0,0,0,
LIMK2,100,0,0,0,
NEK2,100,0,0,0,
HSPA1A,100,0,0,0,
MED14,0,0,100,-100,S
KPNA2,100,0,0,0,
CDC14B,100,0,0,0,S
IRAK1,100,0,0,0,
TLR2,100,0,0,0,
HNRNPK,100,0,0,0,
ERCC6,100,0,0,0,
BIRC7,100,0,0,0,S
TLR10,100,0,0,0,
TLR8,100,0,0,0,
TDG,100,0,0,0,
MPG,100,0,0,0,S
HSF1,71,0,29,-29,
DLC1,100,0,0,0,
HIF1AN,100,0,0,0,S
SUMO2,0,100,0,100,S
FOXM1,100,0,0,0,
NF1,100,0,0,0,S
RNF135,100,0,0,0,S
HMGN2,100,0,0,0,
TOP1,100,0,0,0,
TELO2,100,0,0,0,
GADD45A,100,0,0,0,
ZNF420,100,0,0,0,
CLSPN,100,0,0,0,
MAD2L1,100,0,0,0,
BUB1B,100,0,0,0,
TLR9,100,0,0,0,
TLR7,100,0,0,0,
MCM10,100,0,0,0,S
FBXW8,100,0,0,0,S
KDM7A,100,0,0,0,S
BUB1,100,0,0,0,
KIF4A,100,0,0,0,S
KDM1B,100,0,0,0,S
TTK,100,0,0,0,
ESPL1,100,0,0,0,
MAPK7,100,0,0,0,
USP9X,100,0,0,0,S
IRAK4,100,0,0,0,
GMNN,100,0,0,0,
MAP3K3,100,0,0,0,
ING2,100,0,0,0,S
MDM4,100,0,0,0,
CCNH,100,0,0,0,
CKS2,100,0,0,0,
GFI1B,100,0,0,0,S
AURKB,100,0,0,0,
BTF3,100,0,0,0,S
NEDD4,100,0,0,0,
ERCC8,100,0,0,0,S
XPA,100,0,0,0,
SHPRH,100,0,0,0,S
DTL,100,0,0,0,
ECT2,100,0,0,0,
RACGAP1,100,0,0,0,
DIAPH3,100,0,0,0,
CDC42,100,0,0,0,
CXCL10,100,0,0,0,
WSB1,100,0,0,0,S
SIAH2,100,0,0,0,
YAP1,100,0,0,0,
SUV39H2,100,0,0,0,S
RAD17,100,0,0,0,
CDC20,100,0,0,0,
EZH2,100,0,0,0,
TP53AIP1,100,0,0,0,
SUV39H1,100,0,0,0,
INCENP,100,0,0,0,
PTPN2,100,0,0,0,
PTPN11,100,0,0,0,
NANOS1,0,0,100,-100,S
PRKCD,100,0,0,0,
DUSP1,100,0,0,0,
RPS19BP1,100,0,0,0,S
NOL3,100,0,0,0,S
CTNNBIP1,100,0,0,0,S
PTTG1,100,0,0,0,
MYBL2,100,0,0,0,
SPHK2,100,0,0,0,
RNF168,100,0,0,0,
HDAC4,100,0,0,0,
AKAP8,0,0,100,-100,S
CDKN2D,100,0,0,0,
PSMC3,100,0,0,0,
CDKN2C,100,0,0,0,
MYSM1,100,0,0,0,S
PSME3,100,0,0,0,S
PADI4,100,0,0,0,
LMO4,100,0,0,0,S
SENP3,100,0,0,0,S
CTSL,100,0,0,0,S
CTSH,100,0,0,0,S
CTSK,100,0,0,0,S
CTSS,100,0,0,0,S
MAF,100,0,0,0,
PPP1R1B,100,0,0,0,
ZFHX3,100,0,0,0,S
NEUROD1,100,0,0,0,
ZBTB16,100,0,0,0,
HUWE1,100,0,0,0,
NPM1,100,0,0,0,
PPA1,100,0,0,0,S
BAZ1B,100,0,0,0,
DCLRE1B,100,0,0,0,
CTSB,100,0,0,0,S
PAK2,100,0,0,0,
CYCS,100,0,0,0,
AKT3,0,46,54,-8,
GNA11,100,0,0,0,
GNAI1,100,0,0,0,
GNRHR,100,0,0,0,
STK38,100,0,0,0,
PRKCE,100,0,0,0,
ERBB4,100,0,0,0,
GNRH1,100,0,0,0,S
CHFR,100,0,0,0,S
STK4,100,0,0,0,
PPP1CB,100,0,0,0,S
NFYA,100,0,0,0,
SP3,100,0,0,0,
AES,100,0,0,0,S
MMP2,100,0,0,0,
DENND4A,100,0,0,0,S
MAF1,100,0,0,0,
PKMYT1,100,0,0,0,
BRCC3,100,0,0,0,S
RING1,100,0,0,0,S
STAT5A,100,0,0,0,
TRIM25,100,0,0,0,S
TGFBR2,100,0,0,0,
TGFBR1,100,0,0,0,
HSPB2,100,0,0,0,
LATS1,100,0,0,0,
STK3,100,0,0,0,
RASSF1,100,0,0,0,
DNAJB1,100,0,0,0,
HSBP1,0,100,0,100,S
HSPD1,100,0,0,0,
MAPKAPK3,100,0,0,0,
ARAF,100,0,0,0,
BRAF,27,73,0,73,
HSPB6,100,0,0,0,
FLI1,100,0,0,0,
UBE2N,100,0,0,0,
POLH,100,0,0,0,
HERC2,100,0,0,0,
REV1,100,0,0,0,
RAD9A,100,0,0,0,
RAD54L,100,0,0,0,S
MAD2L2,100,0,0,0,
PKN2,100,0,0,0,
JAK3,100,0,0,0,
PIAS1,100,0,0,0,
RANBP2,100,0,0,0,
MIR17HG,100,0,0,0,
OTUB1,100,0,0,0,S
CSF3,100,0,0,0,
CSF2,100,0,0,0,
EEF1E1,100,0,0,0,S
TIPRL,100,0,0,0,S
